4024
1943.16|0x08000|0x8000|0x23c908c2
1943.17|0x10000|0x8000|0x46bcdd07
1943.18|0x18000|0x8000|0xe6ae7ba0
1943.19|0x20000|0x8000|0x868ababc
1943.20|0x28000|0x8000|0x0917e5d4
1943.21|0x30000|0x8000|0x9bfb0d89
1943.22|0x38000|0x8000|0x04f3c274
1943.24|0x00000|0x8000|0x11134036  /* fg tiles */
1943.25|0x08000|0x8000|0x092cf9c1
1943.06|0x00000|0x8000|0x97acc8af  /* sprites */
1943.07|0x08000|0x8000|0xd78f7197
1943.08|0x10000|0x8000|0x1a626608
1943.09|0x18000|0x8000|0x92408400
1943.10|0x20000|0x8000|0x8438a44a
1943.11|0x28000|0x8000|0x6c69351d
1943.12|0x30000|0x8000|0x5e7efdb7
1943.13|0x38000|0x8000|0x1143829a
1943.14|0x0000|0x8000|0x4d3c6401  /* front background */
1943.23|0x8000|0x8000|0xa52aecbd  /* back background */
bmprom.01|0x0000|0x0100|0x74421f18  /* red component */
bmprom.02|0x0100|0x0100|0xac27541f  /* green component */
bmprom.03|0x0200|0x0100|0x251fb6ff  /* blue component */
bmprom.05|0x0300|0x0100|0x206713d0  /* char lookup table */
bmprom.10|0x0400|0x0100|0x33c2491c  /* foreground lookup table */
bmprom.09|0x0500|0x0100|0xaeea4af7  /* foreground palette bank */
bmprom.12|0x0600|0x0100|0xc18aa136  /* background lookup table */
bmprom.11|0x0700|0x0100|0x405aae37  /* background palette bank */
bmprom.08|0x0800|0x0100|0xc2010a9e  /* sprite lookup table */
bmprom.07|0x0900|0x0100|0xb56f30c3  /* sprite palette bank */
bmprom.04|0x0a00|0x0100|0x91a8a2e1  /* priority encoder / palette selector (not used */
bmprom.06|0x0b00|0x0100|0x0eaf5158  /* video timing (not used */
1943j|1943.c
37
1943jap.001|0x00000|0x08000|0xf6935937
1943jap.002|0x10000|0x10000|0xaf971575
1943jap.003|0x20000|0x10000|0x300ec713
1943.05|0x00000|0x8000|0xee2bd2d7
1943.04|0x00000|0x8000|0x46cb9d3d  /* characters */
1943.15|0x00000|0x8000|0x6b1a0443  /* bg tiles */
1943.16|0x08000|0x8000|0x23c908c2
1943.17|0x10000|0x8000|0x46bcdd07
1943.18|0x18000|0x8000|0xe6ae7ba0
1943.19|0x20000|0x8000|0x868ababc
1943.20|0x28000|0x8000|0x0917e5d4
1943.21|0x30000|0x8000|0x9bfb0d89
1943.22|0x38000|0x8000|0x04f3c274
1943.24|0x00000|0x8000|0x11134036  /* fg tiles */
1943.25|0x08000|0x8000|0x092cf9c1
1943.06|0x00000|0x8000|0x97acc8af  /* sprites */
1943.07|0x08000|0x8000|0xd78f7197
1943.08|0x10000|0x8000|0x1a626608
1943.09|0x18000|0x8000|0x92408400
1943.10|0x20000|0x8000|0x8438a44a
1943.11|0x28000|0x8000|0x6c69351d
1943.12|0x30000|0x8000|0x5e7efdb7
1943.13|0x38000|0x8000|0x1143829a
1943.14|0x0000|0x8000|0x4d3c6401  /* front background */
1943.23|0x8000|0x8000|0xa52aecbd  /* back background */
bmprom.01|0x0000|0x0100|0x74421f18  /* red component */
bmprom.02|0x0100|0x0100|0xac27541f  /* green component */
bmprom.03|0x0200|0x0100|0x251fb6ff  /* blue component */
bmprom.05|0x0300|0x0100|0x206713d0  /* char lookup table */
bmprom.10|0x0400|0x0100|0x33c2491c  /* foreground lookup table */
bmprom.09|0x0500|0x0100|0xaeea4af7  /* foreground palette bank */
bmprom.12|0x0600|0x0100|0xc18aa136  /* background lookup table */
bmprom.11|0x0700|0x0100|0x405aae37  /* background palette bank */
bmprom.08|0x0800|0x0100|0xc2010a9e  /* sprite lookup table */
bmprom.07|0x0900|0x0100|0xb56f30c3  /* sprite palette bank */
bmprom.04|0x0a00|0x0100|0x91a8a2e1  /* priority encoder / palette selector (not used */
bmprom.06|0x0b00|0x0100|0x0eaf5158  /* video timing (not used */
1943kai|1943.c
37
1943kai.01|0x00000|0x08000|0x7d2211db
1943kai.02|0x10000|0x10000|0x2ebbc8c5
1943kai.03|0x20000|0x10000|0x475a6ac5
1943kai.05|0x00000|0x8000|0x25f37957
1943kai.04|0x00000|0x8000|0x884a8692  /* characters */
1943kai.15|0x00000|0x8000|0x6b1a0443  /* bg tiles */
1943kai.16|0x08000|0x8000|0x9416fe0d
1943kai.17|0x10000|0x8000|0x3d5acab9
1943kai.18|0x18000|0x8000|0x7b62da1d
1943kai.19|0x20000|0x8000|0x868ababc
1943kai.20|0x28000|0x8000|0xb90364c1
1943kai.21|0x30000|0x8000|0x8c7fe74a
1943kai.22|0x38000|0x8000|0xd5ef8a0e
1943kai.24|0x00000|0x8000|0xbf186ef2  /* fg tiles */
1943kai.25|0x08000|0x8000|0xa755faf1
1943kai.06|0x00000|0x8000|0x5f7e38b3  /* sprites */
1943kai.07|0x08000|0x8000|0xff3751fd
1943kai.08|0x10000|0x8000|0x159d51bd
1943kai.09|0x18000|0x8000|0x8683e3d2
1943kai.10|0x20000|0x8000|0x1e0d9571
1943kai.11|0x28000|0x8000|0xf1fc5ee1
1943kai.12|0x30000|0x8000|0x0f50c001
1943kai.13|0x38000|0x8000|0xfd1acf8e
1943kai.14|0x0000|0x8000|0xcf0f5a53  /* front background */
1943kai.23|0x8000|0x8000|0x17f77ef9  /* back background */
bmk01.bin|0x0000|0x0100|0xe001ea33  /* red component */
bmk02.bin|0x0100|0x0100|0xaf34d91a  /* green component */
bmk03.bin|0x0200|0x0100|0x43e9f6ef  /* blue component */
bmk05.bin|0x0300|0x0100|0x41878934  /* char lookup table */
bmk10.bin|0x0400|0x0100|0xde44b748  /* foreground lookup table */
bmk09.bin|0x0500|0x0100|0x59ea57c0  /* foreground palette bank */
bmk12.bin|0x0600|0x0100|0x8765f8b0  /* background lookup table */
bmk11.bin|0x0700|0x0100|0x87a8854e  /* background palette bank */
bmk08.bin|0x0800|0x0100|0xdad17e2d  /* sprite lookup table */
